event_id,claim,gold_label,pred_label,rank_distance,support_evidence_count,refute_evidence_count,subclaim_count
9957.json,"Congress includes 36 people accused of spousal abuse, 84 arrested for drunk driving in the past year, 71 with terrible creditand more.",pants-fire,mostly-true,4,2,2,1
2305.json,"Under the new health care law, if a landscaper wants to buy a new lawnmower, or a restaurant needs a new ice-maker, they have to report that to the feds.",true,false,4,2,2,1
8011.json,Says Austin is the largest city in America without a congressional district anchored in it.,true,false,4,2,2,1
9151.json,"When people enter the service, theres not a mental health evaluation.",true,false,4,2,2,1
7426.json,Theres more murders with hammers last year than...shotguns and pistols and AK-47s.,pants-fire,mostly-true,4,2,2,1
1462.json,Uses headlines to portray Gov. Rick Perry as beholden to special interests.,mostly-true,pants-fire,4,2,2,1
13324.json,Ford is moving all of their small-car production to Mexico.,mostly-true,pants-fire,4,2,2,1
8336.json,"If sea levels rise six feet due to climate change, Waterplace Park in Providence and Wickford village would be swamped",true,false,4,2,2,1
11150.json,Caution: Kissing and cuddling chickens can be hazardous to your health.,true,false,4,2,2,1
2958.json,Beaverton enjoys the most diverse population (by percentage of population) among Oregon cities.,false,true,4,2,2,1
2723.json,Congressman Kasich wants to use our tax dollars to give secret bonuses to his corporate friends.,pants-fire,mostly-true,4,2,2,1
2625.json,"Rand Paul wants to end all federal faith-based initiatives, and even end the deduction for religious charities.",mostly-true,pants-fire,4,2,2,1
809.json,"98 percent of small businesses make less than $250,000 and would not see a tax increase under Barack Obama's plan.",true,false,4,2,2,1
7447.json,Says the last non-partisan commission to improve the voting experience in America concluded that #VoterID was necessary.,true,false,4,2,2,1
574.json,McCain got more money from Airbus' U.S. executives than any other politician.,true,false,4,2,2,1
8557.json,"The United States has never been richer, if you look at per capita GDP.",true,false,4,2,2,1
11917.json,North Koreas missiles are not going to have a capability to reach the United States anytime real soon.,true,false,4,2,2,1
10978.json,More than half of women under 30 who give birth do so outside of marriage...,true,false,4,2,2,1
11887.json,Says President John F. Kennedy released a star Green Bay Packer from military reserve duty so that he could play in the 1961 NFL Championship Game.,true,false,4,2,2,1
1950.json,"Four years as a congressman, he [U.S. Rep. Hank Johnson] never talked about MARTA.",pants-fire,mostly-true,4,2,2,1
2470.json,"If you look at the application for a security clearance, I have a clearance that even the president of the United States cannot obtain because of my background.",pants-fire,mostly-true,4,2,2,1
339.json,"In the Illinois Legislature, Barack Obama ""voted 'present,' instead of yes or no"" on seven votes involving abortion rights.",true,false,4,2,2,1
5746.json,The U.S. Supreme Court has not traditionally asked a lot of questions during oral arguments.,true,false,4,2,2,1
11269.json,Denali is the Kenyan word for black power.,pants-fire,half-true,3,2,2,1
11200.json,"Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.",false,mostly-true,3,2,2,1
73.json,"Each year, 18,000 people die in America because they don't have health care.",true,barely-true,3,2,2,1
1328.json,Ronald Reagan faced an even worse recession than the current one.,false,mostly-true,3,2,2,1
4513.json,"The Fed created $1.2 trillion out of nothing, gave it to banks, and some of them foreign banks, so that they could stabilize their operations.",true,barely-true,3,2,2,1
6313.json,"A proposed tax to fund transportation projects would spend $90,000 to take a single vehicle off the road during the morning and afternoon commute.",false,mostly-true,3,2,2,1
2854.json,Rebuilding three high schools will benefit 40 percent of Portland Public School students.,pants-fire,half-true,3,2,2,1
2679.json,"I am very proud, as governor of Florida, that we signed the first divestment act, as it relates to Iran, divesting any investments in companies that would invest in Iran.",true,barely-true,3,2,2,1
12398.json,"Says Donald Trump said of women, And you can tell them to go f--- themselves.",pants-fire,half-true,3,2,2,1
2690.json,"The Taliban has been there for years and years, I mean, hundreds of thousands of years.",pants-fire,half-true,3,2,2,1
6821.json,"(Barack Obama) says hes going to reduce the long-term debt and deficit by $4 trillion, doesnt say how hes going to do it.",pants-fire,half-true,3,2,2,1
2585.json,Delaware Democratic Senate candidate Chris Coons thought that a 911 call should be taxed.,barely-true,true,3,2,2,1
6026.json,"The federal government reviewed and verified his administrations numbers showing Wisconsin added 23,608 jobs in 2011.",half-true,pants-fire,3,2,2,1
