event_id,claim,gold_label,pred_label,rank_distance,support_evidence_count,refute_evidence_count,subclaim_count
11685.json,Wisconsin is on pace to double the number of layoffs this year.,false,mostly-true,3,3,3,0
5209.json,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,half-true,pants-fire,3,3,3,0
11200.json,"Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.",false,mostly-true,3,3,3,0
1328.json,Ronald Reagan faced an even worse recession than the current one.,false,mostly-true,3,3,3,0
12996.json,The number of illegal immigrants could be 3 million. It could be 30 million.,pants-fire,half-true,3,3,3,0
8567.json,"Says Thomas Jefferson said, You might be able to fool the people for awhile, and they may go astray, but sooner or later the American people are going to wake up and they will correct the course.",half-true,pants-fire,3,3,3,0
4513.json,"The Fed created $1.2 trillion out of nothing, gave it to banks, and some of them foreign banks, so that they could stabilize their operations.",true,barely-true,3,3,3,0
10971.json,"Greg Abbott activated the state guard to monitor Jade Helm 15 in case the troops try to impose martial law, disarm innocent Texans, and detain them in tunnels beneath closed Walmart stores.",half-true,pants-fire,3,3,3,0
13251.json,Says he won the second debate with Hillary Clinton in a landslide in every poll.,pants-fire,half-true,3,3,3,0
9550.json,A salesclerk at Hobby Lobby who needs contraception is not going to get that service through her employers health care plan because her employer doesnt think she should be using contraception.,barely-true,true,3,3,3,0
2092.json,Sixty percent of the Hispanics support the Arizona immigration law,pants-fire,half-true,3,3,3,0
2854.json,Rebuilding three high schools will benefit 40 percent of Portland Public School students.,pants-fire,half-true,3,3,3,0
2491.json,"Pepper ... kicked off a jock tax, imposing a levy on the sports and entertainment industry.",true,barely-true,3,3,3,0
3706.json,Says people in Africa literally walk two and three hundred miles in order to vote.,pants-fire,half-true,3,3,3,0
2796.json,Half of children struck by cars near schools are hit by parents driving children to school.,false,mostly-true,3,3,3,0
6821.json,"(Barack Obama) says hes going to reduce the long-term debt and deficit by $4 trillion, doesnt say how hes going to do it.",pants-fire,half-true,3,3,3,0
4495.json,President Obama has the lowest public approval ratings of any president in modern times.,pants-fire,half-true,3,3,3,0
13056.json,Tom Suozzi raised taxes by hundreds of millions of dollars as Nassau County executive.,true,barely-true,3,3,3,0
9051.json,"Says President Barack Obama told a room of students, Children, every time I clap my hands together, a child in America dies from gun violence, and then a child told him he could solve the problem by not clapping any more.",pants-fire,half-true,3,3,3,0
10250.json,"In rural Virginia, Sen. Warner ran 8-10 points ahead of a traditional Democrat -- ahead of Senator Kaine, ahead of Governor McAuliffe.",false,mostly-true,3,3,3,0
5505.json,Says Barack Obama promised he would cut the deficit in half but didnt.,true,barely-true,3,3,3,0
11796.json,Says a Ted Cruz ad has got me bull-dozing down a house.I never bulldozed it down. Its false advertising.,half-true,pants-fire,3,3,3,0
7678.json,Says If you compare the Portland Metro area to the CDCs statewide cavity rates ... the Portland Metro area would actually rank as having the 15th lowest cavity rate in the U.S.,false,mostly-true,3,3,3,0
